bmw,acura,honda,audi,infiniti,lexus,toyota,nissan,subaru,volkswagen,mercedes
0.5216,1.7055917737789204,2.7398988505747126,1.0200177777777777,1.505063687150838,1.5039466666666665,3.1296,2.7470933333333334,2.2673632653061224,2.073678048780488,1.3857432835820895
1.7055917737789204,0.2544,1.0968,1.8972203389830509,0.875984,1.2225333333333332,3.997714285714286,2.1155368421052634,2.851957894736842,8.29344,4.116654545454545
2.7398988505747126,1.0968,0.0914,5.7451428571428576,3.9340083333333338,3.513822222222222,0.3278478260869565,0.5449509433962264,2.781171428571428,1.8622750000000001,4.0673
1.0200177777777777,1.8972203389830509,5.7451428571428576,0.08800000000000001,1.7481538461538462,1.3238260869565217,4.84,6.952,1.8744,0.31182608695652175,0.712
1.505063687150838,0.875984,3.9340083333333338,1.7481538461538462,0.2066,1.0211942857142857,7.575333333333333,1.1658142857142857,2.7503625,8.41895,3.064566666666667
1.5039466666666665,1.2225333333333332,3.513822222222222,1.3238260869565217,1.0211942857142857,0.0692,0.787448275862069,3.1238857142857146,2.9479200000000003,5.6398,0.5865523809523809
3.1296,3.997714285714286,0.3278478260869565,4.84,7.575333333333333,0.787448275862069,0.066,0.40894117647058825,4.686,1.536857142857143,1.9580000000000002
2.7470933333333334,2.1155368421052634,0.5449509433962264,6.952,1.1658142857142857,3.1238857142857146,0.40894117647058825,0.06319999999999999,1.6827,2.5753999999999997,11.2496
2.2673632653061224,2.851957894736842,2.781171428571428,1.8744,2.7503625,2.9479200000000003,4.686,1.6827,0.0426,2.3146,10.0
2.073678048780488,8.29344,1.8622750000000001,0.31182608695652175,8.41895,5.6398,1.536857142857143,2.5753999999999997,2.3146,0.0326,0.72535
1.3857432835820895,4.116654545454545,4.0673,0.712,3.064566666666667,0.5865523809523809,1.9580000000000002,11.2496,10.0,0.72535,0.0356
